use,year_built,heated_sqft,site_address,city,zip,owner,owner_addr1,owner_addr2,owner_addr3,assessed_value,pin
FLEX WHSE,2005,8446.0,110 TRADITION TRL,HOLLY SPRINGS,27540,HSBP PROPERTIES LLC ,5624 LOCKLEY RD,APEX NC 27539-5346,,2065026,0649234070
FIRE STA,1984,8445.0,2960 WENDELL BLVD,WENDELL,27591,WENDELL HOLMES RURAL FIRE DEPT INC ,2960 WENDELL BLVD,WENDELL NC 27591-7269,,1622004,1784434142
DAY CARE,2001,8436.0,3901 KILDAIRE FARM RD,CARY,27539,SCF RC FUNDING IV LLC ,902 CARNEGIE CTR STE 520,PRINCETON NJ 08540-6531,,2485894,0760075034
OFC GROSS,1981,8436.0,8821 MIDWAY WEST RD,RALEIGH,27617,DOGGETT LLC ,1425 CRESSIDA DR,CHARLOTTE NC 28210-5683,,1285107,0778149609
CHURCH,1975,8430.0,133 RAND RD,,27603,MCCULLERS COMMUNITY BAPTIST CHURCH ,133 RAND RD,RALEIGH NC 27603-9227,,1808697,1609410973
DAY CARE,1997,8412.0,10030 DURANT RD,RALEIGH,27614,TENET EQUITY FUNDING SPE I LLC ,10030 DURANT RD,RALEIGH NC 27614-9370,,1904739,1728430811
MULT TEN,2000,8400.0,1625 RONALD DR,RALEIGH,27609,NU ASSOCIATES LLC ,222 CLOISTER CT,CHAPEL HILL NC 27514-2212,,1530372,1716601317
FLEX WHSE,1998,8400.0,134 THOMAS MILL RD,HOLLY SPRINGS,27540,GENERAL CONCRETE CONSTRUCTION INC ,134 THOMAS MILL RD,HOLLY SPRINGS NC 27540-9372,,1633763,0649335884
FLEX WHSE,1997,8400.0,1404 SMITH RENO RD,RALEIGH,27603,TURNER INVESTMENTS LLC ,1404 SMITH RENO RD,RALEIGH NC 27603-7732,,2441606,1702193963
FLEX WHSE,1994,8400.0,604 E CHATHAM ST,CARY,27511,919 ACG LLC ,701 E CHATHAM ST STE 201,CARY NC 27511-6964,,1047323,0764829544
OFC GROSS,1984,8384.0,2601 OBERLIN RD,RALEIGH,27608,FAIR VIEW ASSOCIATES ,2601 OBERLIN RD STE 101,RALEIGH NC 27608-1319,,1286948,1704198991
MULT TEN,2003,8375.0,102 S FIRST AVE,KNIGHTDALE,27545,KNIGHT123 LLC ,INCOME PROPERTIES OF RALEIGH INC,1049 DRESSER CT,RALEIGH NC 27609-7323,1580516,1754321163
MED OFC GROSS,1993,8372.0,901 RIDGEFIELD DR,RALEIGH,27609,RIDGEFIELD AWH LLC ,901 RIDGEFIELD DR,RALEIGH NC 27609-8504,,1858119,1717105133
DAY CARE,2004,8371.0,3425 ROGERS RD,WAKE FOREST,27587,BAP LEARNING LLC ,3425 ROGERS RD,WAKE FOREST NC 27587-3809,,2331118,1840417314
OFC GROSS,2001,8364.0,101 SIGMA DR,GARNER,27529,CAROLINAS COTTON GROWERS COOPERATIVE INC,MATTHEW WILLIAMS,101 SIGMA DR,GARNER NC 27529-8543,1472629,1730311422
MULT TEN,1998,8350.0,2918 KILDAIRE FARM RD,CARY,27518,RIANN PROPERTIES LLC ,3216 OAKLYN SPRINGS DR,RALEIGH NC 27606-8312,,1930167,0761361802
MULT TEN,1981,8332.0,4205 WAKE FOREST RD,RALEIGH,27609,THEEPROPERTY LLC ,7901 STRICKLAND RD STE 112,RALEIGH NC 27615-3189,,1834534,1716407410
MULT TEN,1988,8326.0,2816 TRAWICK RD,RALEIGH,27604,TRAWICK COMMERCIAL CENTER LLC ,PO BOX 464,RALEIGH NC 27602-0464,,1114638,1725134423
CHURCH,1975,8302.0,5836 OLD SMITHFIELD RD,,27539,"HINTON-BROOKS, NATILEE D TRUSTEE ",5900 OLD SMITHFIELD RD,APEX NC 27539-5351,,894198,0740840331
OFC GROSS,1984,8300.0,5847 MCHINES PL,RALEIGH,27616,MCHINES LLC ,1900 WILD WATERS DR,RALEIGH NC 27614-7647,,1176643,1726081111
FLEX WHSE,2004,8288.0,3708 CONQUEST DR,RALEIGH,27529,RKP ENTERPRISES LLC ,200 TINSTEEL CT,GARNER NC 27529-4182,,1685061,1722600709
DAY CARE,1994,8251.0,1500 EVANS RD,CARY,27513,"AASRA,LLC ",10809 ASHLAND MILL CT,RALEIGH NC 27617-7767,,2692631,0755919727
MULT TEN,1979,8236.0,2645 E MILLBROOK RD,RALEIGH,27604,MOGHADASS INC ,PO BOX 78534,CHARLOTTE NC 28271-7035,,1208082,1726142170
OFC GROSS,1985,8236.0,3301 GLEN ROYAL RD,RALEIGH,27617,3301 LLC ,3301 GLEN ROYAL RD,RALEIGH NC 27617-7407,,1537421,0777464153
OFC GROSS,1978,8214.0,4901 LEIGH DR,RALEIGH,27616,WOODS HOLDINGS LLC ,14223 WYNDFIELD CIR,RALEIGH NC 27615-1318,,1476610,1726259366
FIRE STA,1992,8213.0,13116 NORWOOD RD,,27614,BAYLEAF VOLUNTEER FIRE DEPT INC ,11713 SIX FORKS RD,RALEIGH NC 27614-8151,,1231651,0799383177
FIRE STA,1995,8208.0,4828 CLIFTON RD,KNIGHTDALE,27545,TOWN OF KNIGHTDALE ,950 STEEPLE SQUARE CT,KNIGHTDALE NC 27545-7655,,1343980,1742994217
SNGL TEN,1993,8200.0,1408 CORPORATION PKWY,RALEIGH,27604,LRE LLC ,900 NORRIS ST,RALEIGH NC 27604-1914,,1079707,1724861596
GYM,2000,8198.0,307 N ENNIS ST,FUQUAY-VARINA,27526,FUQUAY VARINA PRESBYTERIAN CHURCH ,308 N ENNIS ST,FUQUAY VARINA NC 27526-2009,,1012185,0666193082
MULT TEN,2004,8194.0,2200 GATHERING PARK CIR,CARY,27519,PARKWAY PROPERTIES LLC ,1000 DARRINGTON DR STE 105,CARY NC 27513-8134,,2978455,0745232520
DAY CARE,2000,8181.0,201 MORRISVILLE SQUARE WAY,MORRISVILLE,27560,PRESCHOOL ENTERPRISES LLC ,4915 WATERS EDGE DR STE 255,RALEIGH NC 27606-3370,,2068652,0755131208
FLEX WHSE,1993,8181.0,2400 RELIANCE AVE,,27539,"LTD ENTERPRISES, LLC ",2400 RELIANCE AVE STE A,APEX NC 27539-7010,,1679389,0751374401
FLEX WHSE,1993,8181.0,2400 RELIANCE AVE,,27539,LTD ENTERPRISES LLC ,2400 RELIANCE AVE STE A,APEX NC 27539-7010,,1683877,0751373545
SNGL TEN,1997,8175.0,199 HIGH HOUSE RD,CARY,27511,AUTOZONE DEVELOPMENT LLC ,123 S FRONT ST DEPT 8088,MEMPHIS TN 38103-3607,,2347855,0753996998
OFC GROSS,1998,8162.0,7718 SIX FORKS RD,RALEIGH,27615,STRUBLE OFFICE LIMITED PARTNERSHIP ,PO BOX 31346,RALEIGH NC 27622-1346,,1361166,1707478418
CHURCH,2003,8154.0,116 THIRD ST,HOLLY SPRINGS,27540,HOLLY SPRINGS UNITED CHURCH CHRIST ,PO BOX 352,HOLLY SPRINGS NC 27540-0352,,2724164,0649842113
CHURCH,1994,8149.0,2310 COMPASSIONATE DR,RALEIGH,27610,COMPASSIONATE TABERNACLE OF FAITH MISSIONARY BAPTI ,2310 COMPASSIONATE DR,RALEIGH NC 27610-6806,,1998126,1712782863
FIRE STA,2000,8147.0,9925 LIGON MILL RD,WAKE FOREST,27587,TOWN OF WAKE FOREST ,301 BROOKS ST,WAKE FOREST NC 27587-2901,,1990847,1739882087
OFC GROSS,1987,8116.0,2003 SCHIEFFELIN RD,APEX,27502,UNO MAS INVESTMENTS LLC ,2003 SCHIEFFELIN RD,APEX NC 27502-1771,,1365219,0741786770
SNGL TEN,1999,8100.0,411 S MAIN ST,ROLESVILLE,27571,DOLGENCORP INC ,DOLLAR GENERAL STORE #4977,100 MISSION RIDGE DR,GOODLETTSVILLE TN 37072-2171,1416454,1758892338
MULT TEN,1999,8100.0,1241 S MAIN ST,WAKE FOREST,27587,"JINBA NC, LLC ",IGNACIO CARDONA,125 COUNTY RD,DEMAREST NJ 07627-2433,1347664,1840258417
SNGL TEN,1987,8100.0,4801 LEIGH DR,RALEIGH,27616,GLOBAL INVESTMENTS GROUP LLC ,2624 TIMBER DR # 241,GARNER NC 27529-2571,,1341257,1726259200
MED OFC GROSS,1998,8090.0,1221 N MAIN ST,FUQUAY-VARINA,27526,LANE SPE LLC ,PO BOX 2230,ANGIER NC 27501-2230,,1566720,0667406498
OFC GROSS,1988,8068.0,1500 PINEY PLAINS RD,CARY,27518,JS LEE PROPERTY LLC ,1500 PINEY PLAINS RD STE 101,CARY NC 27518-6898,,1184143,0773513409
SNGL TEN,1993,8064.0,1500 US 70 HWY W,GARNER,27529,WT HOUSE LLC ,PO BOX 31346,RALEIGH NC 27622-1346,,2271716,1701583374
SNGL TEN,2000,8064.0,6809 DAVIS CIR,RALEIGH,27613,WAKE COUNTY BOARD OF ALCOHOLIC CONTROL ,600 S GREENFIELD PKWY,GARNER NC 27529-6977,,1413614,0786599007
CHURCH,1989,8063.0,4825 ROLESVILLE RD,,27591,NORTH CAROLINA DISTRICT COUNCIL ASSEMBLIES OF GOD INC,PO BOX 818,DUNN NC 28335-0818,,1210706,1765924208
FLEX WHSE,1999,8060.0,133 TRIANGLE TRADE DR,CARY,27513,PARKWAY PROPERTIES GROUP LLC ,1000 DARRINGTON DR STE 105,CARY NC 27513-8134,,1979908,0754851178
SNGL TEN,1999,8060.0,1525 OLD APEX RD,CARY,27513,"MANGUM, VIVIAN ELAINE TRUSTEE MANGUM, VIVIAN ELAINE TRUSTEE",1525 OLD APEX RD,CARY NC 27513-5357,,1456556,0753424949
DAY CARE,2003,8054.0,1035 HALIFAX ST,RALEIGH,27604,HOUSING AUTH CITY OF RALEIGH ,900 HAYNES ST,RALEIGH NC 27604-1462,,4158325,1704741153
OFC GROSS,1987,8042.0,6821 KNIGHTDALE BLVD,KNIGHTDALE,27545,WAKE STONE CORPORATION ,PO BOX 190,KNIGHTDALE NC 27545-0190,,2809974,1744769070
OFC GROSS,1984,8024.0,11405 FALLS OF NEUSE RD,,27587,UNITED STATES OF AMERICA ,US ARMY CORP OF ENG WILMINGTON DIST,11405 FALLS OF NEUSE RD,WAKE FOREST NC 27587-9210,809866471,1802015192
MED OFC GROSS,2005,8012.0,1004 PROCURE ST,FUQUAY-VARINA,27526,JAYKU LLC ,3412 BIRK BLUFF CT,CARY NC 27518-8224,,1562191,0666486930
MED OFC GROSS,2005,8012.0,1006 PROCURE ST,FUQUAY-VARINA,27526,"FUQUAY RETINA REAL ESTATE, LLC ",4414 LAKE BOONE TRL STE 302,RALEIGH NC 27607-7514,,1528282,0666497035
MULT TEN,2005,8000.0,7629 PURFOY RD,FUQUAY-VARINA,27526,PURFOY ROAD LLC ,JAMES S ADOCK III,PO BOX 1055,FUQUAY VARINA NC 27526-0227,2359192,0666795560
SNGL TEN,1999,8000.0,421 BROOKS ST,WAKE FOREST,27587,DOLGENCORP INC ,DOLLAR GENERAL STORE #4977,100 MISSION RIDGE DR,GOODLETTSVILLE TN 37072-2171,951410,1840590776
CHURCH,1999,8000.0,3309 CEDAR SPRINGS DR,,27603,LIVING WATERS AFRICAN METHODIST EPISCOPAL CHURCH ,PO BOX 37572,RALEIGH NC 27627-7572,,1844093,0792049664
OFC GROSS,1996,8000.0,250 DOMINION DR,MORRISVILLE,27560,DOMINION 250 LLC ,222 W MAITLAND BLVD,MAITLAND FL 32751-4323,,1185061,0756611424
FLEX WHSE,1997,8000.0,110 PHEASANT WOOD CT,MORRISVILLE,27560,LIMANO & ASSOCIATES III LLC ,110 PHEASANT WOOD CT STE D,MORRISVILLE NC 27560-7926,,1425538,0754394917
FLEX WHSE,1994,8000.0,100 CENTREWEST CT,CARY,27513,POPE WAKE HOLDINGS LLC ,124 LOCH POINTE DR,CARY NC 27518-8418,,2399976,0755830645
VET CLIN,1986,7990.0,1300 CORPORATION PKWY,RALEIGH,27610,"LAZENBY, LOUIS RAYMOND LAZENBY, ALICE M",3403 FOUR WATER VW SW,SUPPLY NC 28462-3542,,1057083,1724850440
OFC GROSS,1981,7954.0,1157 EXECUTIVE CIR,CARY,27511,BAIRD FIVE LLC ,123 WESTONGATE WAY,CARY NC 27513-2974,,1209969,0763437432
OFC GROSS,2003,7952.0,3631 BASTION LN,RALEIGH,27604,HLR HOLDINGS LLC ,3631 BASTION LN,RALEIGH NC 27604-3861,,1068964,1724355988
MED OFC GROSS,1990,7944.0,3101 JOHN HUMPHRIES WYND,RALEIGH,27612,TRIANGLE ARTHRITIS PROPERTIES LLC ,3101 JOHN HUMPHRIES WYND,RALEIGH NC 27612-5302,,1190112,0785656909
FIRE STA,2002,7924.0,2474 BUD LIPSCOMB RD,,27592,WAKE COUNTY ,WAKE COUNTY ATTORNEY'S OFFICE,PO BOX 550,RALEIGH NC 27602-0550,1540859,0685987415
MULT TEN,1993,7924.0,1398 KILDAIRE FARM RD,CARY,27511,CDHJ ENTERPRISES LLC ,JEFF DURHAM,11308 EMPIRE LAKES DR,RALEIGH NC 27617-8627,3020423,0763401958
OFC GROSS,1984,7920.0,2600 FAIRVIEW RD,RALEIGH,27608,"HUNT, K NEAL HUNT, FRANCES C",2600 FAIRVIEW RD,RALEIGH NC 27608-1384,,1198674,1704198789
SNGL TEN,2004,7910.0,7205 KNIGHTDALE BLVD,KNIGHTDALE,27545,COLONIAL KNIGHTDALE OUTPARCEL LLC ,DEPT 8088,PO BOX 2198,MEMPHIS TN 38101-2198,2236751,1754264136
OFC GROSS,1998,7899.0,212 SAWMILL RD,RALEIGH,27615,JLSK LLC ,212 SAWMILL RD,RALEIGH NC 27615-4936,,1513965,1707367350
CHURCH,1977,7896.0,3201 JACK MITCHELL RD,,27597,SAINT JOHN UNITED HOLY CHURCH INC ,3201 JACK MITCHELL RD,ZEBULON NC 27597-8477,,793874,1797117521
SCHOOL,1997,7892.0,604 S FRANKLIN ST,WAKE FOREST,27587,FRANKLIN ACADEMY INC THE ,C/O ROBERT L LUDDY,1912 CHALK RD,WAKE FOREST NC 27587-9164,1513329,1840584427
OFC GROSS,2000,7882.0,100 KEYBRIDGE DR,MORRISVILLE,27560,"BRADEN, JEFFREY N BRADEN, GAYLA S",154 RIMA LNDG,DENTON NC 27239-6959,,1071624,0755236283
CHURCH,2004,7872.0,3500 BUFFALOE RD,RALEIGH,27604,APOSTOLIC CHURCH OF RALEIGH INC THE ,3500 BUFFALOE RD,RALEIGH NC 27604-4205,,1779161,1725476761
FUNERAL,1998,7872.0,7615 SIX FORKS RD,RALEIGH,27615,7615 SIX FORKS ROAD LLC ,7615 SIX FORKS RD,RALEIGH NC 27615-5022,,2358522,1707465709
CLUB HSE,1983,7867.0,3300 E GARNER RD,,27520,PINE HOLLOW GC LLC ,3300 E GARNER RD,CLAYTON NC 27520-5109,,2500426,1740527857
OFC GROSS,1999,7865.0,11010 RAVEN RIDGE RD,RALEIGH,27614,DAKOTA LLC ,11010 RAVEN RIDGE RD,RALEIGH NC 27614-8837,,1570630,1728163006
OFC GROSS,1987,7864.0,8100 CREEDMOOR RD,RALEIGH,27613,"8100 CREEDMOOR ROAD, LLC ",7208 ACC BLVD,RALEIGH NC 27617-8736,,1502418,0798417822
DAY CARE,1983,7860.0,203 KILMAYNE DR,CARY,27511,KCP RE LLC ,SCHWARTZ KALES ACCOUNTANCY CORP,6310 SAN VICENTE BLVD STE 250,LOS ANGELES CA 90048-5447,1334317,0763348897
SNGL TEN,1996,7860.0,123 YEARGAN RD,GARNER,27529,"PARKS, MICHAEL TRUSTEE I TRUST MIKE PARKS REVOCABLE TRUST",2548 OAKES PLANTATION DR,RALEIGH NC 27610-9328,,2130256,1701959331
MULT TEN,2000,7856.0,1437 N MAIN ST,FUQUAY-VARINA,27526,"HOWELL, THOMAS W HOWELL, EWANDA F",4409 SETH DR,HOLLY SPRINGS NC 27540-9122,,2314915,0667812219
MULT TEN,1999,7840.0,1241 S MAIN ST,WAKE FOREST,27587,VILLA AB 1 LLC ,5420 MERION STATION DR,APEX NC 27539-3604,,1357813,1840258616
MULT TEN,2001,7821.0,706 MONEY CT,KNIGHTDALE,27545,MONEY COURT PROPERTY HOLDING LLC ,SCHICK LAW PC,4711 HOPE VALLEY RD STE 4F-526,DURHAM NC 27707-5651,2514756,1754662151
SNGL TEN,1985,7811.0,1662 NORTH MARKET DR,RALEIGH,27609,"DICKERSON, GEORGE H ",14116 WYNDFIELD CIR,RALEIGH NC 27615-1315,,906959,1716604509
FLEX WHSE,2000,7810.0,107 QUAIL FIELDS CT,MORRISVILLE,27560,ISLAMIC CENTER OF MORRISVILLE ,1000 GOBLET LN,MORRISVILLE NC 27560-6686,,2044621,0755204118
FLEX WHSE,2001,7808.0,3700 BASTION LN,RALEIGH,27604,3700 BASTION LLC ,3700 BASTION LN STE 3,RALEIGH NC 27604-2084,,1730703,1724461385
OFC GROSS,1976,7802.0,7509 SIX FORKS RD,RALEIGH,27615,PHW ASSOC LLC ,R LYNN WIGGS DMD,7509 SIX FORKS RD,RALEIGH NC 27615-5048,1116896,1707466520
FLEX WHSE,1985,7802.0,513 PERSHING RD,RALEIGH,27608,"PHILLIPS, TERRY WAYNE ",PO BOX 6101,RALEIGH NC 27628-6101,,634498,1704887065
OFC GROSS,1985,7801.0,8620 BAREFOOT INDUSTRIAL RD,RALEIGH,27617,RDU ROCK LLC ,200 HORIZON DR STE 100,RALEIGH NC 27615-4947,,2664073,0777593615
MULT TEN,1999,7800.0,424 E SIX FORKS RD,RALEIGH,27609,CDCG INC ,1120 EAST BLVD # 200,CHARLOTTE NC 28203-5706,,3124862,1715038579
MULT TEN,2004,7800.0,905 MCKNIGHT DR,KNIGHTDALE,27545,905 MCKNIGHT LLC ,INCOME PROPERTIES OF RALEIGH INC,1049 DRESSER CT,RALEIGH NC 27609-7323,2061161,1754054062
OFC GROSS,2000,7750.0,2347 TIMBER DR,GARNER,27529,TIMBER REALTY LLC ,1436 ENCHANTED OAKS DR,RALEIGH NC 27606-9010,,1292020,1701615034
DAY CARE,1996,7730.0,2215 W MILLBROOK RD,RALEIGH,27612,ST PIERRE PROPERTIES INC ,9100 CARRINGTON RIDGE DR,RALEIGH NC 27615-1961,,3837772,0796379957
CHURCH,1989,7730.0,4004 LOUISBURY RD,,27587,MACEDONIA BAPTIST CHURCH ,4004 LOUISBURY RD,WAKE FOREST NC 27587-9658,,916444,1747991481
OFC GROSS,1999,7728.0,2231 E MILLBROOK RD,RALEIGH,27604,NEESE FAMILY HOLDINGS LLC ,PO BOX 17944,RALEIGH NC 27619-7944,,916927,1716942024
VET CLIN,2003,7722.0,9638 CHAPEL HILL RD,MORRISVILLE,27560,54 LAND HOLDINGS LAND ,H2 MANAGEMENT AND DESIGN,100 PARKWAY OFFICE CT STE 208,CARY NC 27518-7438,2473190,0754592183
MULT TEN,1994,7703.0,957 HIGH HOUSE RD,CARY,27513,PRESTON CORNERS INVESTMENTS LLC ,5508 GREENTREE RD,BETHESDA MD 20817-3548,,2984391,0754019550
OFC GROSS,1987,7701.0,5801 LEASE LN,RALEIGH,27617,ARAP II LLC ,5801 LEASE LN,RALEIGH NC 27617-4708,,1087488,0778606686
FLEX WHSE,1996,7700.0,106 PHEASANT WOOD CT,MORRISVILLE,27560,"LEE, SHAN YUNG OUYANG, CHAOHUI",8305 BROKEN YOLK TRL,APEX NC 27523-9602,,1942790,0755302261
FLEX WHSE,1995,7700.0,101 QUAIL FIELDS CT,MORRISVILLE,27560,QURESHY PROPERTY HOLDINGS LLC ,801 HUNTSWORTH PL,CARY NC 27513-9744,,2258463,0755204389
DAY CARE,1997,7689.0,8504 HARPS MILL RD,RALEIGH,27615,PRESCHOOL ENTERPRISES LLC ,4915 WATERS EDGE DR STE 255,RALEIGH NC 27606-3370,,2546156,1717892500
OFC GROSS,1997,7688.0,7610 SIX FORKS RD,RALEIGH,27615,ADVANTAGE GROUP REALTY LLC ,7610 SIX FORKS RD,RALEIGH NC 27615-5047,,1082138,1707468684
OFC GROSS,1987,7681.0,6005 CHAPEL HILL RD,RALEIGH,27607,THREE WOOD LLC ,6005 CHAPEL HILL RD,RALEIGH NC 27607-5109,,697112,0784123046
FLEX WHSE,1998,7680.0,4904 ALPINIS DR,RALEIGH,27616,"ALPINIS HOLDINGS LLC MASSENGILL, TERRI S",805 SPRING FOREST RD STE 1000,RALEIGH NC 27609-9112,,1246015,1716942127
CHURCH,1991,7680.0,6421 FALCONWOOD DR,,27591,EAGLE ROCK UNITED CHURCH OF CHRIST ,6471 FALCONWOOD DR,WENDELL NC 27591-8127,,823700,1774435100
OFC GROSS,1984,7669.0,2607 OBERLIN RD,RALEIGH,27608,AUTUMN HILL ASSOCIATES ,2601 OBERLIN RD STE 101,RALEIGH NC 27608-1319,,1059451,1705108064
OFC GROSS,2004,7667.0,6030 CREEDMOOR RD,RALEIGH,27612,"BECKER INVESTMENTS, LLC ",6030 CREEDMOOR RD STE 200,RALEIGH NC 27612-2327,,1193707,0797408644
SCHOOL,2004,7657.0,3122 HERITAGE TRADE DR,WAKE FOREST,27587,THALES ACADEMY INC ,4641 PARAGON PARK RD,RALEIGH NC 27616-3406,,2324569,1840213797
OFC GROSS,2005,7651.0,3321 TRILLIUM WHORL CT,RALEIGH,27607,TRILLIUMS PLACE CONDOMINIUM ,TRILLIUMS LLC,3108 ETON RD,RALEIGH NC 27608-1114,0,0794436263
CHURCH,2000,7650.0,9713 OLD STAGE RD,,27603,TRIANGLE BAPTIST CHURCH OF RALEIGH ,9713 OLD STAGE RD,RALEIGH NC 27603-7868,,1816779,0698882714
MULT TEN,1982,7622.0,413 W GANNON AVE,ZEBULON,27597,LNP INC ,PARRISH REALTY C/O RENEE BAKER,PO BOX 1128,ZEBULON NC 27597-1128,772971,2705046197
FLEX WHSE,2003,7607.0,1105 GREAT FALLS CT,KNIGHTDALE,27545,ARAN PROPERTIES LLC ,1621 KIRKBY LN,RALEIGH NC 27614-7228,,1096372,1744961629
CHURCH,1992,7598.0,2901 SANDERFORD RD,RALEIGH,27610,CAROLINA ANNUAL CONFERENCE CME CHRH ,2901 SANDERFORD RD,RALEIGH NC 27610-5913,,1418178,1712545389
MED OFC GROSS,1996,7571.0,1422 E MILLBROOK RD,RALEIGH,27609,CFM PARTNERS LLC ,916 STONE FALLS TRL,RALEIGH NC 27614-9389,,1824745,1716449421
OFC GROSS,1995,7553.0,1350 NORWELL BLVD,CARY,27513,SOUTHERN BELL TELEPHONE & TELEGRAPH COMPANY,BB&T BLDG STE 408,200 S COLLEGE ST,CHARLOTTE NC 28202-2012,876294,0765266153
CHURCH,1977,7552.0,1110 HOLMES ST,RALEIGH,27601,"BIBLE WAY TEMPLE, INC ",1110 HOLMES ST,RALEIGH NC 27601-2744,,1938651,1713040055
MULT TEN,1987,7550.0,300 N MAIN ST,HOLLY SPRINGS,27540,300 NORTH MAIN STREET LLC ,PO BOX 6356,RALEIGH NC 27628-6356,,1091313,0649932499
OFC GROSS,1985,7544.0,1144 EXECUTIVE CIR,CARY,27511,INTELLECTUAL PROPERTIES NUMBER I LLC ,1631 MIDTOWN PL STE 104,RALEIGH NC 27609-1300,,1146442,0763449005
MED OFC GROSS,1988,7515.0,3124 BLUE RIDGE RD,RALEIGH,27612,BLACK ROCK INVESTMENTS LLC ,9660 FALLS OF NEUSE RD STE 138,RALEIGH NC 27615-2435,,1339570,0785832824
CHURCH,1996,7512.0,830 HIGH HOUSE RD,CARY,27513,SAINT MICHAEL THE ARCHANGEL CATHOLIC PARISH OF CAR ,804 HIGH HOUSE RD,CARY NC 27513-3507,,5534245,0754215675
OFC GROSS,1988,7510.0,101 PHEASANT WOOD CT,MORRISVILLE,27560,GRDU I LLC ,1039 ARDSLEY RD,CHARLOTTE NC 28207-1815,,1277598,0754390925
FLEX WHSE,1990,7500.0,1510 MECHANICAL BLVD,GARNER,27529,MCGAHEY GROUP LLC ,1510 MECHANICAL BLVD STE 103,GARNER NC 27529-2564,,898266,1701871766
CHURCH,2005,7500.0,2010 MARTIN LUTHER KING JR BLVD,RALEIGH,27610,SOUTH CENTRAL CHURCH OF CHRIST INC (NAME CHANGE),PO BOX 14111,RALEIGH NC 27620-4111,,1712966,1713756566
SNGL TEN,1992,7500.0,4628 ATLANTIC AVE,RALEIGH,27604,"BETTS, RALPH L ",911 KILDAIRE FARM RD,CARY NC 27511-3922,,1274760,1716831488
MULT TEN,1995,7500.0,9825 CHAPEL HILL RD,MORRISVILLE,27560,"DORYLU-MORRISVILLE, LLC ",JONATHAN D MEDWIN,2934 1/2 N BEVERLY GLEN CIR # 265,LOS ANGELES CA 90077-1745,1973225,0755401178
MULT TEN,2000,7500.0,108 FACTORY SHOPS RD,MORRISVILLE,27560,FS PARTNERS LLC ,901 KILDAIRE FARM RD STE A2,CARY NC 27511-3937,,2585637,0756388845
FLEX WHSE,1998,7500.0,5915 OAK FOREST DR,RALEIGH,27616,VISION CHURCH INC ,5808 DEPARTURE DR STE 101,RALEIGH NC 27616-1934,,1225228,1726186986
OFC GROSS,1998,7490.0,9220 FAIRBANKS DR,RALEIGH,27613,FAIRBANKS PROPERTIES LLC ,PO BOX 90427,RALEIGH NC 27675-0427,,1002526,0788121160
MULT TEN,1997,7488.0,913 SPRING FOREST RD,RALEIGH,27609,CREEDMOOR PROPERTIES LLC ,PO BOX 17102,RALEIGH NC 27619-7102,,2783044,1717118098
DAY CARE,1976,7484.0,4001 GREEN RD,RALEIGH,27604,"MARTIN, H LEROY ",C/O BRENTWOOD CHILDCARE,4001 GREEN RD,RALEIGH NC 27604-2621,1333250,1726005068
FLEX WHSE,1985,7470.0,517 PERSHING RD,RALEIGH,27608,"PHILLIPS, TERRY WAYNE ",PO BOX 6101,RALEIGH NC 27628-6101,,618869,1704888052
OFC GROSS,1988,7464.0,1221 CORPORATION PKWY,RALEIGH,27610,EMMANUEL ANGLICAN CHURCH INC ,4205 WILLOW HAVEN CT,RALEIGH NC 27616-8706,,938459,1724757174
DAY CARE,2005,7440.0,201 POWHATAN DR,FUQUAY-VARINA,27526,FORTEC FUQUAY VARINA NC 2 LLC ,1395 BRICKNELL AVE,SUITE 760,MIAMI FL 33131,2003736,0657942417
VET CLIN,1998,7440.0,100 KUMAR CT,CARY,27606,ANIMAL CARE CENTER AT SWIFT CREEK CROSSING P L L C,H2 MANAGEMENT AND DESIGN,100 PARKWAY OFFICE CT STE 208,CARY NC 27518-7438,1958041,0772863544
DORMTY,1975,7433.0,2200 NEW BERN AVE,RALEIGH,27610,2200 NEW BERN LLC ,909 GLENWOOD AVE,RALEIGH NC 27605-1511,,1405012,1713785778
OFC GROSS,1987,7418.0,4601 ATLANTIC AVE,RALEIGH,27604,ATLANTIC 4601 LLC ,PO BOX 31827,RALEIGH NC 27622-1827,,1429909,1716735261
OFC GROSS,1987,7417.0,4709 HARGROVE RD,RALEIGH,27616,CQ LANDLORD MULTI LLC ,GENERAL PARTS DISTRIBUTION LLC,2635 E MILLBROOK RD,RALEIGH NC 27604-2988,1193118,1726141476
CHURCH,1979,7406.0,277 WALNUT ST,CARY,27511,WALNUT STREET CHURCH OF CHRIST ,277 WALNUT ST,CARY NC 27511-3445,,2016924,0763694720
OFC GROSS,1988,7380.0,101 CENTER POINTE DR,CARY,27513,INFINITE POTENTIAL PROPERTIES LLC ,107 HEADLANDS LN,CARY NC 27518-8312,,1531506,0753226450
DAY CARE,1985,7378.0,104 BAINES CT,CARY,27511,SHELBY CHARLES ROAD PARTNERSHIP ,927 MILITARY AVE,BAXTER SPRINGS KS 66713-1544,,1528451,0763407566
OFC GROSS,1980,7371.0,1101 SPRING FOREST RD,RALEIGH,27615,A B SMITH LLC ,1625 OBERLIN RD,RALEIGH NC 27608-2039,,884891,1717219404
OFC GROSS,1979,7371.0,1004 BULLARD CT,RALEIGH,27615,LARKS LLC ,1004 BULLARD CT STE 106,RALEIGH NC 27615-6854,,1115936,1717215499
